layer,pair_type,n_pairs,mean_cosine,std_cosine,mean_l2,std_l2,mean_jaccard,std_jaccard,mean_shared
2,correct_correct,401,0.44332389016995705,0.47696029361069303,338.4458134073272,286.3084352292976,0.6194725613886161,0.3667150387164896,2.2219451371571073
2,correct_wrong,541,0.608656420064281,0.46788470738692567,438.68307945931025,280.12915686837135,0.7394544542825392,0.3374035881109529,1.5988909426987061
2,wrong_wrong,1249,0.555150344335527,0.47140538755826333,404.4624516225224,277.59546943980513,0.7088548126709404,0.3247134819061937,1.8070456365092074
3,correct_correct,401,0.4837866211472604,0.4624775967458888,405.8663238278054,284.3082029900153,0.6968134617138447,0.28770543016257577,2.6359102244389025
3,correct_wrong,541,0.6437550647642167,0.446710918262302,509.4948878402851,274.7101054428725,0.7951050969980891,0.2606661332594604,1.9186691312384474
3,wrong_wrong,1249,0.5809801294862794,0.4550194731930155,468.0496877772604,274.4474558282642,0.7649421461685448,0.25769641584907393,2.288230584467574
4,correct_correct,401,0.49187993051999823,0.4403766558349812,487.9244828735504,296.4946720528678,0.6836389690463426,0.27866110927946075,3.7032418952618453
4,correct_wrong,541,0.6517922472821587,0.4287722584051886,603.9985541521731,292.04030892323345,0.7960085079411425,0.24837305497915177,2.4842883548983363
4,wrong_wrong,1249,0.5904096759635034,0.4374896884259458,560.181738046382,290.5249224175791,0.7577984029185515,0.2611116270445774,3.0640512409927942
12,correct_correct,401,0.4116169958935117,0.35024168632698405,1175.673367050818,583.2718881185383,0.701199050169363,0.18011886747902597,7.361596009975062
12,correct_wrong,541,0.5839477175925885,0.35562882747743196,1455.560936834367,588.0640718532842,0.8026698287662796,0.16274469066336283,5.0258780036968576
12,wrong_wrong,1249,0.5384453674905103,0.35457802068855454,1380.7376902254225,574.6216526989239,0.7740503624866253,0.1723622098744719,5.5604483586869495
15,correct_correct,401,0.4813819946790871,0.2960157282815031,1295.2488314279,510.53858683437994,0.7061656194015368,0.17370006065069135,7.177057356608479
15,correct_wrong,541,0.6325540991014562,0.30353062204997583,1600.0580462387,521.7773832336321,0.8039472311236342,0.15722144623928921,5.009242144177449
15,wrong_wrong,1249,0.5848617486900287,0.2982952150863537,1542.3114137061602,523.5857127347957,0.7840552995505556,0.1649986942909513,5.357886309047238
18,correct_correct,401,0.39947176351214286,0.31269291686869327,2179.185394667628,945.789292294894,0.6962632737269735,0.18754055131487254,6.905236907730673
18,correct_wrong,541,0.6033550066780471,0.3163007508821585,2782.852252276239,1037.1671328217135,0.8051296403958816,0.15531380400083988,4.846580406654343
18,wrong_wrong,1249,0.5881548514358514,0.3094252124464968,2692.2536407544003,1041.0643746106412,0.7885889635029594,0.16088914024613762,5.251401120896717
