layer,is_correct,n_rows,mean_active_features,std_active_features,mean_sum_activation,mean_max_activation
2,False,541,7.231053604436229,5.4900783067081935,929.6996562626357,373.61697999739164
2,True,541,6.044362292051756,4.656921432820652,825.0866752243747,375.0954779097862
3,False,541,9.306839186691313,5.656373772127962,1121.7044707067353,402.0554347011827
3,True,541,7.927911275415896,4.5068237439221,994.615230031463,412.95892486290217
4,False,541,10.578558225508319,3.977695050834949,1375.3751127063238,448.7640379731184
4,True,541,9.537892791127542,3.356716097446332,1271.0078474739344,451.62563232309054
12,False,541,17.03327171903882,4.77675721187682,4374.848070521893,958.0358429801222
12,True,541,17.42513863216266,4.226069471174126,4476.540214609086,990.5421573547251
15,False,541,17.382624768946396,4.7116476383745205,5200.374050965371,874.7196109228786
15,True,541,16.961182994454713,4.887282218863707,4921.574745841035,847.8003952393029
18,False,541,16.99260628465804,4.82585061109719,8601.686729219617,1741.6532963948416
18,True,541,16.720887245841034,4.356105543674685,8538.147954634069,1719.996568605772
